#########################################################################################################################################################################################################################################
# Investigation Details
# ======================
# Investigator Name: Solomon Sonya
# Investigation Description: Magnet Virtual Summit 2020 CTF - Memory
# Investigation Date: 2022-01-17-2008:58
#
# Analysis Framework
# ======================
# Analysis Framework Name: Xavier Framework
# Analysis Framework Version: 2.114
#
# Memory Analysis Binary
# ======================
# File Name: vol_2.6.exe	 File Size: 15.79 MBs	 Creation Date: 2022-01-16-1019:29	 Last Accessed: 2022-01-17-1948:58	 Last Modified: 2021-02-28-2253:29	 
# MD5: 2fc05486a3fe93cef213cc37748bf556	 SHA-256: 672a00461ffb8d59536c86192450b66d552e67809fc8584d1792b42b22c5f4e1	 
#
# Analysis Image Details
# ======================
# Memory Image Path: C:\xavier\xavier_framework\import\memory_image\memdump.mem
# File Name: memdump.mem	 File Size: 5.37 GBs	 Creation Date: 2022-01-17-2008:08	 Last Accessed: 2022-01-17-2008:13	 Last Modified: 2021-10-14-2125:48	 
# MD5: 224f93209cbea29e862890f30dfa762d	 SHA-256: 18e9007993c45f813dd5bd23b6bf6ad703d3e6ac70effd9c47a310a8443c7b8a	 
#
# Plugin Details
# ======================
# Plugin Name: moddump
# Plugin Description: Dump a kernel driver to an executable file sample
#
# Execution Details
# ======================
# Execution Command: "C:\xavier\xavier_framework\import\memory_analysis\vol_2.6.exe" -f "C:\xavier\xavier_framework\import\memory_image\memdump.mem" moddump --profile=Win7SP1x64 --dump-dir "C:\xavier\xavier_framework\export\memory_analysis\2022_01_17_20_08_42\moddump
#########################################################################################################################################################################################################################################


Volatility Foundation Volatility Framework 2.6
Module Base        Module Name          Result
------------------ -------------------- ------
0xfffff80002a48000 ntoskrnl.exe         OK: driver.fffff80002a48000.sys
File Name: msahci.sys_driver.fffff88001131000.sys	 File Size: 24.06 KBs	 Creation Date: 2022-01-17-2026:13	 Last Accessed: 2022-01-17-2026:13	 Last Modified: 2022-01-17-2026:13	 MD5: a58c7f0169fa93c96c9045b824c435a0	 SHA-256: de6ac5a853697bec85f911cdded99e2d9eab7158c9122ac8b3c0ba5b3c13f3a7	 
File Name: amdxata.sys_driver.fffff8800113c000.sys	 File Size: 19.97 KBs	 Creation Date: 2022-01-17-2026:11	 Last Accessed: 2022-01-17-2026:11	 Last Modified: 2022-01-17-2026:11	 MD5: 8b031e5b4885ca5d06388019c683cbd6	 SHA-256: 634c0eed56791bbc9c62ec7b4e63a193acc890917be907666fe1e59ddffd66e7	 
File Name: fltmgr.sys_driver.fffff88001147000.sys	 File Size: 282.62 KBs	 Creation Date: 2022-01-17-2026:07	 Last Accessed: 2022-01-17-2026:07	 Last Modified: 2022-01-17-2026:07	 MD5: 7aa0fe46153560d456d7ff0eb3f0b1c5	 SHA-256: b1a80c63d453a369cec201df6a04f816e44ba8a578b4aba353139e171bc63afb	 
File Name: fileinfo.sys_driver.fffff88001193000.sys	 File Size: 62.98 KBs	 Creation Date: 2022-01-17-2026:02	 Last Accessed: 2022-01-17-2026:02	 Last Modified: 2022-01-17-2026:02	 MD5: f59749786a346b188f371ad0a3c5d96e	 SHA-256: 5ddbccc6e8ba357135242e84f5d665374b8788b358ae6378928213615e261730	 
File Name: VIDEOPRT.SYS_driver.fffff880011a7000.sys	 File Size: 129.54 KBs	 Creation Date: 2022-01-17-2026:10	 Last Accessed: 2022-01-17-2026:10	 Last Modified: 2022-01-17-2026:10	 MD5: 1db903032e1eecf24b163b1f3928d97f	 SHA-256: f182e8131c5a4ccb20fb6342fe162b49dca140740a505f83e69dda1e523a821f	 
File Name: watchdog.sys_driver.fffff880011cc000.sys	 File Size: 42.5 KBs	 Creation Date: 2022-01-17-2026:12	 Last Accessed: 2022-01-17-2026:12	 Last Modified: 2022-01-17-2026:12	 MD5: ce8ea2ca8d903d58b26d22b179fb81fb	 SHA-256: b95e8eef1cdc9ff4037de6ebdabb8755253749292f46cbe96e23a4c923aeb995	 
File Name: rdprefmp.sys_driver.fffff880011dc000.sys	 File Size: 8.19 KBs	 Creation Date: 2022-01-17-2026:14	 Last Accessed: 2022-01-17-2026:14	 Last Modified: 2022-01-17-2026:14	 MD5: e2e626745eb0d6231324836da57588e7	 SHA-256: 73c9b88d2fc5f92f5ea5ea31ab852e1601725913f1604236498bf3abe6266100	 
File Name: Msfs.SYS_driver.fffff880011e5000.sys	 File Size: 26.11 KBs	 Creation Date: 2022-01-17-2026:04	 Last Accessed: 2022-01-17-2026:04	 Last Modified: 2022-01-17-2026:04	 MD5: ce8158debedfb34e9fc8d45e58296d7f	 SHA-256: c132987bf1707a8277f5c777d0a8f4995fd66b7987ac4278905b1d6372e3890	 
File Name: discache.sys_driver.fffff880011f0000.sys	 File Size: 40.45 KBs	 Creation Date: 2022-01-17-2026:01	 Last Accessed: 2022-01-17-2026:01	 Last Modified: 2022-01-17-2026:01	 MD5: 8e7c30dfb64d1d73a90c142a55a8cc8b	 SHA-256: 43240a5478237f962e32ff383769f169eb7665108f9c99056c6130cbd27d0a12	 
File Name: ksecdd.sys_driver.fffff88001200000.sys	 File Size: 88.58 KBs	 Creation Date: 2022-01-17-2026:06	 Last Accessed: 2022-01-17-2026:06	 Last Modified: 2022-01-17-2026:06	 MD5: dd5b5bc3b15c538af1b5da4d04c47cd7	 SHA-256: 8891ce9a54fd9ca2fb3313d32f17fec90bb7af0a8ebe0a315e82ed3bb0cd20b7	 
File Name: cdrom.sys_driver.fffff8800121b000.sys	 File Size: 147.46 KBs	 Creation Date: 2022-01-17-2026:02	 Last Accessed: 2022-01-17-2026:02	 Last Modified: 2022-01-17-2026:02	 MD5: 59430e9331c725bf344e798dfd9750c0	 SHA-256: 26b6c7d3e4fc8614475649d55671e4518228627c13dacbd9579ee4f0f23f615c	 
File Name: RDPCDD.sys_driver.fffff88001245000.sys	 File Size: 7.68 KBs	 Creation Date: 2022-01-17-2026:00	 Last Accessed: 2022-01-17-2026:00	 Last Modified: 2022-01-17-2026:00	 MD5: 326818198edc1bca52fd81c3f31ac385	 SHA-256: 874b3fd73fbaf63fbc6277e012577df61d7e8e1798a68e46e0727a05a34db380	 
File Name: Ntfs.sys_driver.fffff88001250000.sys	 File Size: 1.67 MBs	 Creation Date: 2022-01-17-2026:13	 Last Accessed: 2022-01-17-2026:13	 Last Modified: 2022-01-17-2026:13	 MD5: dc52946f102247d33594d3cde0162803	 SHA-256: a1f18a0a2d38be0a2a738592d3710cba8ba9346edde09375de1df68219189ed8	 
File Name: rdpencdd.sys_driver.fffff880013f7000.sys	 File Size: 7.68 KBs	 Creation Date: 2022-01-17-2026:13	 Last Accessed: 2022-01-17-2026:13	 Last Modified: 2022-01-17-2026:13	 MD5: 810dfb3d331014bd43b4341e702706c1	 SHA-256: f561ff02511fb8e1d1006aa4959bcf15f0a6422039f7741e87802ecb52802014	 
File Name: CLASSPNP.SYS_driver.fffff88001400000.sys	 File Size: 172.03 KBs	 Creation Date: 2022-01-17-2026:03	 Last Accessed: 2022-01-17-2026:03	 Last Modified: 2022-01-17-2026:03	 MD5: d613dd4a2dafac6f4e5429cd27172cf5	 SHA-256: ec8c9659773d7b6e0105f790466508cfd4f9ee162b32b674354de1b3a0c6fbaa	 
File Name: Null.SYS_driver.fffff8800146a000.sys	 File Size: 6.14 KBs	 Creation Date: 2022-01-17-2026:07	 Last Accessed: 2022-01-17-2026:07	 Last Modified: 2022-01-17-2026:07	 MD5: 4c58523eaaaa8c04cbe944a455407436	 SHA-256: 2df74e7a00087b61d590eea5638038e21224b56126c3fc49e1dc099dfcc6a45e	 
File Name: vga.sys_driver.fffff88001473000.sys	 File Size: 29.18 KBs	 Creation Date: 2022-01-17-2026:13	 Last Accessed: 2022-01-17-2026:13	 Last Modified: 2022-01-17-2026:13	 MD5: c011699c9332b64afbb13086c615452c	 SHA-256: af52d5b02e039cd672b97d52dd49d95c3834ad1aafedd1a2df87a0af76b20355	 
File Name: cng.sys_driver.fffff88001481000.sys	 File Size: 456.7 KBs	 Creation Date: 2022-01-17-2026:10	 Last Accessed: 2022-01-17-2026:10	 Last Modified: 2022-01-17-2026:10	 MD5: 741ac295a5e97a924f9155c4f3ed981f	 SHA-256: 5558df90c632bbca6a71289067da52880a9cc86ddc4cd56e702a3fdafea4fd91	 
File Name: pcw.sys_driver.fffff880014f6000.sys	 File Size: 43.52 KBs	 Creation Date: 2022-01-17-2026:11	 Last Accessed: 2022-01-17-2026:11	 Last Modified: 2022-01-17-2026:11	 MD5: 5445c1fc5869f70bcf8a1c965a221ecd	 SHA-256: b7ead1a4ce02b175afe1928fc113336bbcc673a938972d295aecfdce55a15c35	 
File Name: Fs_Rec.sys_driver.fffff88001507000.sys	 File Size: 16.38 KBs	 Creation Date: 2022-01-17-2026:00	 Last Accessed: 2022-01-17-2026:00	 Last Modified: 2022-01-17-2026:00	 MD5: 37d686c7dbe0752b7394e41f384b790b	 SHA-256: 5aff2cd2edd57ad7f6f898473490383b879bcd05fae0df9d3977c52adfa051c1	 
File Name: volsnap.sys_driver.fffff88001511000.sys	 File Size: 288.77 KBs	 Creation Date: 2022-01-17-2026:08	 Last Accessed: 2022-01-17-2026:08	 Last Modified: 2022-01-17-2026:08	 MD5: c63e04ef4c3dc16a15c1904d6c5f548a	 SHA-256: 96dfefccc9fc2443cd1573cf77c574e3bfc49bac2e3796fc25e37b656b3f1766	 
File Name: rdyboost.sys_driver.fffff8800155d000.sys	 File Size: 206.85 KBs	 Creation Date: 2022-01-17-2026:06	 Last Accessed: 2022-01-17-2026:07	 Last Modified: 2022-01-17-2026:07	 MD5: a23487bd034011958fa3009bf4dd0043	 SHA-256: 7190bbdd13498d8413e3741802fb713ce4505b130cb4ed0745968dc2a5de9e6f	 
File Name: mup.sys_driver.fffff88001597000.sys	 File Size: 53.25 KBs	 Creation Date: 2022-01-17-2026:04	 Last Accessed: 2022-01-17-2026:04	 Last Modified: 2022-01-17-2026:04	 MD5: e860ddaf066cd03bdc1d2452b32bf535	 SHA-256: 6417b076bb1403bc654200877d8e39cef626bdd6a61997d56c5f9f4766603bdd	 
File Name: fvevol.sys_driver.fffff880015a9000.sys	 File Size: 214.53 KBs	 Creation Date: 2022-01-17-2026:12	 Last Accessed: 2022-01-17-2026:12	 Last Modified: 2022-01-17-2026:12	 MD5: 885ead64b062f6497128158f23ccbeaa	 SHA-256: 258f35026689cd0237a6889dccbaecb16ed6930152cf6c568e01ceb0cfdb8751	 
File Name: disk.sys_driver.fffff880015e3000.sys	 File Size: 66.56 KBs	 Creation Date: 2022-01-17-2026:11	 Last Accessed: 2022-01-17-2026:11	 Last Modified: 2022-01-17-2026:11	 MD5: efd0e3df12815b4f696b169d505c22c3	 SHA-256: f9856304168f4ca4b815d5150a6c17166df82de23a2fa601a74b9cd5a2270a40	 
File Name: ndis.sys_driver.fffff8800160f000.sys	 File Size: 943.62 KBs	 Creation Date: 2022-01-17-2026:01	 Last Accessed: 2022-01-17-2026:01	 Last Modified: 2022-01-17-2026:01	 MD5: 6180be7ae85a11a88d41ae243400f8b1	 SHA-256: 8c4f7c97c7b30841ab15cdacaf83035445260c818f3521f905587b29d74d40bd	 
File Name: NETIO.SYS_driver.fffff88001702000.sys	 File Size: 370.69 KBs	 Creation Date: 2022-01-17-2026:11	 Last Accessed: 2022-01-17-2026:11	 Last Modified: 2022-01-17-2026:11	 MD5: b1f2d450ccbdce977905a590a2d4b68f	 SHA-256: 1b51813a588d69db393724415001a982f51f3448a0e7a585aef38ae3adc86242	 
File Name: ksecpkg.sys_driver.fffff88001763000.sys	 File Size: 147.97 KBs	 Creation Date: 2022-01-17-2026:05	 Last Accessed: 2022-01-17-2026:05	 Last Modified: 2022-01-17-2026:05	 MD5: 4b8b900318eb78aeeabda5943b89d757	 SHA-256: b6d48155dc75b8cb8bc5d05bd8a54b9b87f8b05097eb2665303f7ba7a6da942a	 
File Name: fwpkclnt.sys_driver.fffff8800178e000.sys	 File Size: 281.09 KBs	 Creation Date: 2022-01-17-2026:12	 Last Accessed: 2022-01-17-2026:12	 Last Modified: 2022-01-17-2026:12	 MD5: 6d3198c65c0759d830e818ffefb67983	 SHA-256: 9c7afeaf48c93d3f74a70cd57f19353491969aba4cc95175bfb7f27b8cdf6ceb	 
File Name: vmstorfl.sys_driver.fffff880017d7000.sys	 File Size: 39.42 KBs	 Creation Date: 2022-01-17-2026:10	 Last Accessed: 2022-01-17-2026:10	 Last Modified: 2022-01-17-2026:10	 MD5: 9386f4742c7c4a7e664fe867d2241c53	 SHA-256: b8677f8d81ec44ef657752298a4daea9775197f319e927bd36510cb21ba7005f	 
File Name: spldr.sys_driver.fffff880017e7000.sys	 File Size: 11.78 KBs	 Creation Date: 2022-01-17-2026:11	 Last Accessed: 2022-01-17-2026:12	 Last Modified: 2022-01-17-2026:12	 MD5: ff48ab1af0fdcdf649012eeec6b117a7	 SHA-256: 15a763a3c7941de5934572f7cd5eb6e232628e631421033d877dd9627fe2102	 
File Name: hwpolicy.sys_driver.fffff880017ef000.sys	 File Size: 7.68 KBs	 Creation Date: 2022-01-17-2026:12	 Last Accessed: 2022-01-17-2026:13	 Last Modified: 2022-01-17-2026:13	 MD5: 1de2990f14c6ef20aa71932979d66ee4	 SHA-256: 2b10c840a86d86a3bdee38a5864a6dd342b081896967e976733a92bae40561c	 
File Name: Beep.SYS_driver.fffff880017f8000.sys	 File Size: 6.66 KBs	 Creation Date: 2022-01-17-2026:06	 Last Accessed: 2022-01-17-2026:06	 Last Modified: 2022-01-17-2026:06	 MD5: 3822eac7580677cc924b9f871515139c	 SHA-256: 83d7fa01a9279938fed9baea9e8741d592b66a81b0eb1f856a0ab46636f4ec28	 
File Name: tcpip.sys_driver.fffff88001803000.sys	 File Size: 1.89 MBs	 Creation Date: 2022-01-17-2026:00	 Last Accessed: 2022-01-17-2026:00	 Last Modified: 2022-01-17-2026:00	 MD5: c0658e9ceff5b7cf6a37c228386c7343	 SHA-256: 7e763993363a2c388fe21b592db87b616f64836414ee096d458a84094fa33c28	 
File Name: bthport.sys_driver.fffff88003800000.sys	 File Size: 552.96 KBs	 Creation Date: 2022-01-17-2025:59	 Last Accessed: 2022-01-17-2025:59	 Last Modified: 2022-01-17-2025:59	 MD5: d203e5a261234b6294cf206f821bcb97	 SHA-256: 1302ed7f2cac732275cf5998bd01a1d3d691ca3246300009cfc487f23ab3f77	 
File Name: bowser.sys_driver.fffff8800388c000.sys	 File Size: 90.11 KBs	 Creation Date: 2022-01-17-2026:04	 Last Accessed: 2022-01-17-2026:04	 Last Modified: 2022-01-17-2026:04	 MD5: e763b1d385644438b5fe2fa72ff35ae1	 SHA-256: d13de62a383ee6beeaf1a396249d5a8a842adaf633b1b2e5e5d92a8ffcc383ec	 
File Name: mpsdrv.sys_driver.fffff880038a9000.sys	 File Size: 77.31 KBs	 Creation Date: 2022-01-17-2026:10	 Last Accessed: 2022-01-17-2026:10	 Last Modified: 2022-01-17-2026:10	 MD5: 77223fe377fdf414bc065c77bdc603e3	 SHA-256: 1b3d5b9dae166a08215df47f5a9508b675068bb9b8f23aa27a359e476bdb771a	 
File Name: HTTP.sys_driver.fffff880038d4000.sys	 File Size: 753.66 KBs	 Creation Date: 2022-01-17-2026:13	 Last Accessed: 2022-01-17-2026:13	 Last Modified: 2022-01-17-2026:13	 MD5: 7827cfa21b28ae06e160166d89afe53e	 SHA-256: d92539cfaa4c4d6ab37948a6aed44bbde13e5d7921cb51f1bbe5f7b6241217b5	 
File Name: BTHUSB.sys_driver.fffff8800399c000.sys	 File Size: 80.38 KBs	 Creation Date: 2022-01-17-2026:02	 Last Accessed: 2022-01-17-2026:02	 Last Modified: 2022-01-17-2026:02	 MD5: 470d9ac991d37770e7833eac59548a87	 SHA-256: 3e9a1faf92e358eccd1752e901fbece4da0f7c1f0f47f2ceae47b4ab2e39682a	 
File Name: mrxsmb.sys_driver.fffff880039b4000.sys	 File Size: 161.28 KBs	 Creation Date: 2022-01-17-2026:13	 Last Accessed: 2022-01-17-2026:13	 Last Modified: 2022-01-17-2026:13	 MD5: 1032610f4240a7f81bc2d7402e09f7fa	 SHA-256: ffe94ec368717348554429ceb2f09c10dd02c81e21fb622ecc8fadaaca136379	 
File Name: vmmemctl.sys_driver.fffff880039e1000.sys	 File Size: 17.92 KBs	 Creation Date: 2022-01-17-2026:14	 Last Accessed: 2022-01-17-2026:14	 Last Modified: 2022-01-17-2026:14	 MD5: 62e4124f9a93beecfe1a4f9bf982c782	 SHA-256: 2acfd9abf193531a78901fa7fbf7cb21fd2388dc22f5386f0133cac9077f3e85	 
File Name: rasl2tp.sys_driver.fffff88003c00000.sys	 File Size: 129.54 KBs	 Creation Date: 2022-01-17-2026:04	 Last Accessed: 2022-01-17-2026:04	 Last Modified: 2022-01-17-2026:04	 MD5: 15e784afac333e681953b10250338f33	 SHA-256: 9eec6e6088769488b751c5ebb09911d9f2647a38ab00316ea0d7a225bc98a655	 
File Name: csc.sys_driver.fffff88003c3e000.sys	 File Size: 514.56 KBs	 Creation Date: 2022-01-17-2025:59	 Last Accessed: 2022-01-17-2025:59	 Last Modified: 2022-01-17-2025:59	 MD5: 72cd6366bcd2737bdf639ffb7e53dbd0	 SHA-256: 1cc03ac754fb68427ced28e403fdcced8519007b7d1de55cd5560b7587d79aa9	 
File Name: dfsc.sys_driver.fffff88003cc1000.sys	 File Size: 106.5 KBs	 Creation Date: 2022-01-17-2025:59	 Last Accessed: 2022-01-17-2025:59	 Last Modified: 2022-01-17-2025:59	 MD5: b561c2a833114598d63c324949fef871	 SHA-256: bb8e2960a9c807921836ac9365b3d51edc9362af76175c9e9eb338f0a31a2757	 
File Name: blbdrive.sys_driver.fffff88003ce0000.sys	 File Size: 45.06 KBs	 Creation Date: 2022-01-17-2026:12	 Last Accessed: 2022-01-17-2026:12	 Last Modified: 2022-01-17-2026:12	 MD5: 267e66aba9080b15ee65341b9316aec8	 SHA-256: e54e5068b3bca418bf699d703703681014edb188d1931cc193c3992902267e54	 
File Name: tunnel.sys_driver.fffff88003cf1000.sys	 File Size: 125.44 KBs	 Creation Date: 2022-01-17-2026:05	 Last Accessed: 2022-01-17-2026:05	 Last Modified: 2022-01-17-2026:05	 MD5: d49105b20caff5f22c7e156b9fb95611	 SHA-256: 3615e12449846a94d155e66cd9a28795dc7fc75f8f1897af426e371d55a6f362	 
File Name: i8042prt.sys_driver.fffff88003d17000.sys	 File Size: 105.47 KBs	 Creation Date: 2022-01-17-2026:02	 Last Accessed: 2022-01-17-2026:02	 Last Modified: 2022-01-17-2026:02	 MD5: 7e042b44ba6f8a9ff4e80d2b226433df	 SHA-256: d01d4584d5037374cea2b0980c81750da6126dc3a52333fb571948675dcf1dcb	 
File Name: kbdclass.sys_driver.fffff88003d35000.sys	 File Size: 43.52 KBs	 Creation Date: 2022-01-17-2026:13	 Last Accessed: 2022-01-17-2026:13	 Last Modified: 2022-01-17-2026:13	 MD5: b12ec4926fd1c4af88475e5a7f672ee9	 SHA-256: 4019010cfa8590615108602c3f070bfc333d390a1c02bd5c2f5dc5d62473f109	 
File Name: vmmouse.sys_driver.fffff88003d44000.sys	 File Size: 9.22 KBs	 Creation Date: 2022-01-17-2026:11	 Last Accessed: 2022-01-17-2026:11	 Last Modified: 2022-01-17-2026:11	 MD5: cdba20fbe96137493a034e2d2eb07a45	 SHA-256: ee053ae2600e195690dec185ecbca1a79e3be6621c956dbca17f37aabf761c03	 
File Name: mouclass.sys_driver.fffff88003d4d000.sys	 File Size: 41.98 KBs	 Creation Date: 2022-01-17-2026:05	 Last Accessed: 2022-01-17-2026:05	 Last Modified: 2022-01-17-2026:05	 MD5: c136bf68910f2cf849f65f6da777f809	 SHA-256: a25258bd4241e20f6892539d1be1ca23e430bb5e0fca04562387852cda5edb1f	 
File Name: serenum.sys_driver.fffff88003d5c000.sys	 File Size: 23.55 KBs	 Creation Date: 2022-01-17-2026:11	 Last Accessed: 2022-01-17-2026:11	 Last Modified: 2022-01-17-2026:11	 MD5: 88cb34cf380a67ddd5db66792172022f	 SHA-256: 328579b419925b78652a1c2cfb9a977b4f87d75a69a4b58b9ad1eb72d7826252	 
File Name: vm3dmp_loader.sys_driver.fffff88003d68000.sys	 File Size: 18.94 KBs	 Creation Date: 2022-01-17-2026:02	 Last Accessed: 2022-01-17-2026:03	 Last Modified: 2022-01-17-2026:03	 MD5: e2211766c8724881fd69fa6f8ee25c5d	 SHA-256: b4782ac244a26efcccfbac7a6a85f422623177824cc7e645592a8a5f4585e174	 
File Name: vm3dmp.sys_driver.fffff88003d72000.sys	 File Size: 247.81 KBs	 Creation Date: 2022-01-17-2026:01	 Last Accessed: 2022-01-17-2026:01	 Last Modified: 2022-01-17-2026:01	 MD5: 4b1f61f2e6cfe4c81cc840d2fd898d5b	 SHA-256: 4230717f99fb144096b0acd2702ebd335b37f507aa82dd37a12487ad2cba1690	 
File Name: HDAudBus.sys_driver.fffff88003db3000.sys	 File Size: 122.37 KBs	 Creation Date: 2022-01-17-2026:05	 Last Accessed: 2022-01-17-2026:05	 Last Modified: 2022-01-17-2026:05	 MD5: ceb6ea617c27ae1d1a396a582e0cee1c	 SHA-256: 4cd9ac14c9f18cb52b5ed8aa0e2219ebe5f082b65f2e46cf7b999bffb625953d	 
File Name: CompositeBus.sys_driver.fffff88003dd7000.sys	 File Size: 38.91 KBs	 Creation Date: 2022-01-17-2026:04	 Last Accessed: 2022-01-17-2026:04	 Last Modified: 2022-01-17-2026:04	 MD5: 3164ea9f7c06791b01d6406c765212da	 SHA-256: 637c6cbd8b3de39d4c3c6e5a08d0a05ccf132dc7ee82e220ce919c367a0f77f7	 
File Name: AgileVpn.sys_driver.fffff88003de7000.sys	 File Size: 60.42 KBs	 Creation Date: 2022-01-17-2026:14	 Last Accessed: 2022-01-17-2026:14	 Last Modified: 2022-01-17-2026:14	 MD5: e91c4208077f890c2addadfcf1a29ded	 SHA-256: cc8cf8563fb8cc6b8d7981e1e6271485a7c7861091a63642770a4bcb539bf602	 
File Name: wfplwf.sys_driver.fffff88003e00000.sys	 File Size: 12.8 KBs	 Creation Date: 2022-01-17-2026:01	 Last Accessed: 2022-01-17-2026:01	 Last Modified: 2022-01-17-2026:01	 MD5: 430d1dfa3031e422e6d527dd65f78b16	 SHA-256: 7441ab4a0e2d63806eda03cf87aa41257f11796a380d055ab815e348fd20bf40	 
File Name: pacer.sys_driver.fffff88003e09000.sys	 File Size: 131.58 KBs	 Creation Date: 2022-01-17-2026:07	 Last Accessed: 2022-01-17-2026:07	 Last Modified: 2022-01-17-2026:07	 MD5: f853a31b63ecf1aad113c403ae3b3764	 SHA-256: bf1dfd7841def12d1ff5ee0ef1831fd1a68743e16cbfdeb9eecded9537859bd4	 
File Name: netbios.sys_driver.fffff88003e2f000.sys	 File Size: 44.54 KBs	 Creation Date: 2022-01-17-2026:05	 Last Accessed: 2022-01-17-2026:05	 Last Modified: 2022-01-17-2026:05	 MD5: c8e1ceaaa3a4b2c321e2831e8193a35e	 SHA-256: d02cf4bde6760ad23cf85235c845c8bb0c790f2fc770d230eef390a2ea90eaa6	 
File Name: serial.sys_driver.fffff88003e3e000.sys	 File Size: 94.21 KBs	 Creation Date: 2022-01-17-2026:03	 Last Accessed: 2022-01-17-2026:03	 Last Modified: 2022-01-17-2026:03	 MD5: 610ceda5f99e5a00e0c67a138c8f1fa6	 SHA-256: bc1cdded924e67bb1c32871a4a80eec7fbb64e9e38647966ba5e2fe5d6b76b12	 
File Name: wanarp.sys_driver.fffff88003e5b000.sys	 File Size: 88.58 KBs	 Creation Date: 2022-01-17-2026:06	 Last Accessed: 2022-01-17-2026:06	 Last Modified: 2022-01-17-2026:06	 MD5: 5638288e9c4cd3e611a0bc840fab2c31	 SHA-256: d9695dd17fa57c13e2311e8599d14527c94902ca1f20b6ba9ff9dafb4f1cef9a	 
File Name: termdd.sys_driver.fffff88003e76000.sys	 File Size: 56.32 KBs	 Creation Date: 2022-01-17-2026:08	 Last Accessed: 2022-01-17-2026:09	 Last Modified: 2022-01-17-2026:09	 MD5: 2e62615313db20a7cd24f80d5ca3157b	 SHA-256: 6f83a133720276464e75a0baf3b65672face7a27d26ebbe23c7a7bf417bb4938	 
File Name: rdbss.sys_driver.fffff88003e8a000.sys	 File Size: 317.44 KBs	 Creation Date: 2022-01-17-2026:12	 Last Accessed: 2022-01-17-2026:12	 Last Modified: 2022-01-17-2026:12	 MD5: a0412f141b1a9fd93e9dfe1180e5f21d	 SHA-256: b7b891c38f2db8e516c676af1fc2200ba7237a7cf4c3b064c5e9f8cc02e3e8df	 
File Name: nsiproxy.sys_driver.fffff88003edd000.sys	 File Size: 26.11 KBs	 Creation Date: 2022-01-17-2026:03	 Last Accessed: 2022-01-17-2026:03	 Last Modified: 2022-01-17-2026:03	 MD5: 34142c337a01eeeda27b99de168fd7e5	 SHA-256: 8ecf1ac1be79eafe293ed1e50ba81af0d2b7bafa7d9aff2ee9575224e99ae934	 
File Name: mssmbios.sys_driver.fffff88003ee9000.sys	 File Size: 25.09 KBs	 Creation Date: 2022-01-17-2026:04	 Last Accessed: 2022-01-17-2026:04	 Last Modified: 2022-01-17-2026:04	 MD5: 5eab9fdbb75097798c0876d106d12f69	 SHA-256: 2d7cf96c9af15d52f3c261af3c4bd91488f6d63cdac41be32d102ee24132da23	 
File Name: tdx.sys_driver.fffff88003ef5000.sys	 File Size: 117.25 KBs	 Creation Date: 2022-01-17-2026:05	 Last Accessed: 2022-01-17-2026:05	 Last Modified: 2022-01-17-2026:05	 MD5: 5effb699b1852030dd21a9a4460304ca	 SHA-256: 759697432063dec002d22f7c89472c905cf1a0d25c8c608748c8613c8af8decb	 
File Name: TDI.SYS_driver.fffff88003f17000.sys	 File Size: 26.62 KBs	 Creation Date: 2022-01-17-2026:13	 Last Accessed: 2022-01-17-2026:13	 Last Modified: 2022-01-17-2026:13	 MD5: b7ba3187c826603a8faa53978ec6f38f	 SHA-256: 380dbb4c6a7be1fd2f985e5e9ca6b6f359e017902387242b0412cafc20d52cc0	 
File Name: afd.sys_driver.fffff88003f24000.sys	 File Size: 496.13 KBs	 Creation Date: 2022-01-17-2026:07	 Last Accessed: 2022-01-17-2026:07	 Last Modified: 2022-01-17-2026:07	 MD5: d5e0ee7079b948b32890748c8932214f	 SHA-256: 5bd28aa7f0bafbdeacb22268589d340b9a8756b9e38a083d32079543f9d42681	 
File Name: netbt.sys_driver.fffff88003fad000.sys	 File Size: 262.66 KBs	 Creation Date: 2022-01-17-2026:12	 Last Accessed: 2022-01-17-2026:12	 Last Modified: 2022-01-17-2026:12	 MD5: 5740508c1748baa2d3355e264ef05f6e	 SHA-256: 29e0ae06b3757e355388edb8d5afd2ed92365d9439ef0e4a50996663f4ce1d05	 
File Name: ws2ifsl.sys_driver.fffff88003ff2000.sys	 File Size: 21.5 KBs	 Creation Date: 2022-01-17-2026:14	 Last Accessed: 2022-01-17-2026:14	 Last Modified: 2022-01-17-2026:14	 MD5: 93861ffc253cbda6bdba2f57cb693824	 SHA-256: be823a9fe447b379d37b7ffc6096998a5eed75b2e3ec08609630e003c8111a	 
File Name: dxgmms1.sys_driver.fffff88004000000.sys	 File Size: 258.56 KBs	 Creation Date: 2022-01-17-2026:10	 Last Accessed: 2022-01-17-2026:10	 Last Modified: 2022-01-17-2026:10	 MD5: 6e389f674d80bf7b856db2468a16e6cc	 SHA-256: c3de75ac1aed6c57a42a530afae7cce76d61c86b1db26fabdac5c563d9fe6ef9	 
File Name: usbuhci.sys_driver.fffff88004046000.sys	 File Size: 30.72 KBs	 Creation Date: 2022-01-17-2026:07	 Last Accessed: 2022-01-17-2026:07	 Last Modified: 2022-01-17-2026:07	 MD5: 0d44c41c53afeac5a5127b2556a8357f	 SHA-256: 6c9f986bf0e85c911390e832386ec620ae61713d2981996ad441ba5ff00bf173	 
