#########################################################################################################################################################################################################################################
# Investigation Details
# ======================
# Investigator Name: Solomon Sonya
# Investigation Description: Magnet Virtual Summit 2020 CTF - Memory
# Investigation Date: 2022-01-17-2008:58
#
# Analysis Framework
# ======================
# Analysis Framework Name: Xavier Framework
# Analysis Framework Version: 2.114
#
# Memory Analysis Binary
# ======================
# File Name: vol_2.6.exe	 File Size: 15.79 MBs	 Creation Date: 2022-01-16-1019:29	 Last Accessed: 2022-01-17-1948:58	 Last Modified: 2021-02-28-2253:29	 
# MD5: 2fc05486a3fe93cef213cc37748bf556	 SHA-256: 672a00461ffb8d59536c86192450b66d552e67809fc8584d1792b42b22c5f4e1	 
#
# Analysis Image Details
# ======================
# Memory Image Path: C:\xavier\xavier_framework\import\memory_image\memdump.mem
# File Name: memdump.mem	 File Size: 5.37 GBs	 Creation Date: 2022-01-17-2008:08	 Last Accessed: 2022-01-17-2008:13	 Last Modified: 2021-10-14-2125:48	 
# MD5: 224f93209cbea29e862890f30dfa762d	 SHA-256: 18e9007993c45f813dd5bd23b6bf6ad703d3e6ac70effd9c47a310a8443c7b8a	 
#
# Plugin Details
# ======================
# Plugin Name: handles
# Plugin Description: Print list of open handles for each process
#
# Execution Details
# ======================
# Execution Command: "C:\xavier\xavier_framework\import\memory_analysis\vol_2.6.exe" -f "C:\xavier\xavier_framework\import\memory_image\memdump.mem" handles --profile=Win7SP1x64
#########################################################################################################################################################################################################################################


Volatility Foundation Volatility Framework 2.6
Offset(V)             Pid             Handle             Access Type             Details
0xfffffa80310b3b00      4              0x854               0x2a Process          svchost.exe(360)
0xfffffa80317ff060      4              0x85c               0x2a Process          explorer.exe(2672)
0xfffff8a00113e060      4              0x870            0xf01ff Token            
0xfffffa803139c870      4              0x87c           0x12019f File             \Device\clfs\Device\HarddiskVolume1\Users\Warren\AppData\Local\Microsoft\Windows\UsrClass.dat{3fd2f15d-82a0-11ea-82e9-001a7dda710a}.TM
0xfffffa8031130c80      4              0x884           0x13008b File             \Device\HarddiskVolume1\Windows\System32\LogFiles\WMI\RtBackup\EtwRTMsMpPsSession7.etl
0xfffffa803365b060      4              0x894               0x2a Process          svchost.exe(2944)
0xfffffa803365b060      4              0x89c               0x2a Process          svchost.exe(2944)
0xfffff8a001779180      4              0x8a0            0x2001f Key              MACHINE\SYSTEM\CONTROLSET001\CONTROL\PRODUCTOPTIONS
0xfffff8a001ed08b0      4              0x8a8            0xf01ff Token            
0xfffffa80310b3b00      4              0x8bc               0x2a Process          svchost.exe(360)
0xfffffa8032742290      4              0x8d0           0x1f0001 ALPC Port        
0xfffffa8031a7e1e0      4              0x8d4          0x2020003 File             \Device\HarddiskVolume1\Users\Warren\AppData\Local\Microsoft\Windows\UsrClass.dat
0xfffffa8031090060      4              0x8e4               0x2a Process          SearchIndexer.(2580)
0xfffffa80338708a0      4              0x8f0           0x1f007f TmRm             
0xfffffa803348fc10      4              0x8f8           0x12019f File             \Device\HarddiskVolume1\Users\Warren\AppData\Local\Microsoft\Windows\UsrClass.dat{3fd2f15d-82a0-11ea-82e9-001a7dda710a}.TMContainer00000000000000000001.regtrans-ms
0xfffffa80316e4050      4              0x914           0x12019f File             \Device\NetBT_Tcpip_{ADF840DE-43E1-49E9-8473-4ED80057BB0B}
0xfffffa803333db00      4              0x918               0x2a Process          svchost.exe(112)
0xfffffa8031162070      4              0x928           0x1f007f TmRm             
0xfffffa80314f5920      4              0x93c          0x2020003 File             \Device\HarddiskVolume1\Users\Warren\NTUSER.DAT
0xfffffa80338eda80      4              0x984           0x1f007f TmRm             
0xfffffa80332d79c0      4              0x988           0x12019f File             \Device\HarddiskVolume1\Users\Warren\NTUSER.DAT{016888bd-6c6f-11de-8d1d-001e0bcde3ec}.TM.blf
0xfffffa8030f4a700      4              0x994          0x2000003 File             \Device\HarddiskVolume1\Users\Warren\AppData\Local\Microsoft\Windows\UsrClass.dat.LOG2
0xfffff8a003d222c0      4              0x998            0xf000f Directory        00000000-000a8c49
0xfffffa8031ac2b00      4             0x1550               0x2a Process          FTK Imager.exe(4332)
0xfffffa80317ff060      4             0x1578               0x2a Process          explorer.exe(2672)
0xfffffa80310b1780      4             0x1584               0x2a Process          chrome.exe(4404)
0xfffffa803177bb00      4             0x1598               0x2a Process          WINWORD.EXE(3180)
0xfffffa8032429060      4             0x15e4               0x2a Process          chrome.exe(3392)
0xfffffa80333d6060      4             0x1610           0x1fffff Process          WmiPrvSE.exe(3440)
0xfffff8a00c579620      4             0x1618            0xf01ff Token            
0xfffffa80334be7a0      4             0x161c           0x1f0003 Event            ad_process_monitor
0xfffffa803259db00      4             0x1624               0x2a Process          chrome.exe(3604)
0xfffffa80327dcb00      4             0x1640               0x2a Process          chrome.exe(4600)
0xfffffa80337d8b00      4             0x1648               0x2a Process          chrome.exe(4236)
0xfffffa8031e7dd30      4             0x1654              0x180 File             \Device\NetBT_Tcpip_{ADF840DE-43E1-49E9-8473-4ED80057BB0B}
0xfffffa8032037c70      4             0x166c           0x12019f File             \Device\Tcp
0xfffffa803258cb00      4             0x1670               0x2a Process          wuauclt.exe(3464)
0xfffffa8031d34a40      4             0x1674               0x2a Process          iexplore.exe(4480)
0xfffffa80338cdb00      4             0x1688               0x2a Process          slack.exe(2848)
0xfffffa8031688b00      4             0x16a0               0x2a Process          slack.exe(2812)
0xfffffa8033234a80      4             0x16b4               0x2a Process          chrome.exe(3596)
0xfffffa8031e80b00      4             0x16c0               0x2a Process          vmtoolsd.exe(2928)
0xfffffa803271db00      4             0x16e4               0x2a Process          chrome.exe(3756)
0xfffffa803259db00      4             0x1700               0x2a Process          chrome.exe(3604)
0xfffff8a00c39c060      4             0x170c            0xf01ff Token            
0xfffffa8032c66060      4             0x1720               0x2a Process          iexplore.exe(2984)
0xfffffa8031688b00      4             0x172c               0x2a Process          slack.exe(2812)
0xfffffa8033234a80      4             0x173c               0x2a Process          chrome.exe(3596)
0xfffffa803271bb00      4             0x1740               0x2a Process          chrome.exe(3748)
0xfffffa8031d34a40      4             0x1760               0x2a Process          iexplore.exe(4480)
0xfffffa8033474b00      4             0x1768               0x2a Process          SearchProtocol(4056)
0xfffffa8031178c40      4             0x1798                0x0 File             \Device\NetBT_Tcpip_{ADF840DE-43E1-49E9-8473-4ED80057BB0B}
0xfffffa8031ac2b00      4             0x17c4               0x2a Process          FTK Imager.exe(4332)
0xfffffa80326c94e0      4             0x17c8               0x2a Process          WmiApSrv.exe(1092)
0xfffffa8031ac2b00      4             0x17e0               0x2a Process          FTK Imager.exe(4332)
0xfffffa803140c5f0      4             0x1808               0x2a Process          WerFault.exe(2164)
0xfffffa80321b8690      4             0x1810               0x2a Process          SearchFilterHo(1996)
0xfffffa8033806b00      4             0x1840               0x2a Process          chrome.exe(4196)
0xfffffa803258cb00      4             0x1844               0x2a Process          wuauclt.exe(3464)
0xfffffa803177bb00      4             0x184c               0x2a Process          WINWORD.EXE(3180)
0xfffffa8032c66060      4             0x1864               0x2a Process          iexplore.exe(2984)
0xfffffa8031471b00      4             0x188c               0x2a Process          slack.exe(1172)
0xfffffa803165eb00      4             0x18a4               0x2a Process          slack.exe(2208)
0xfffffa803165eb00      4             0x18b8               0x2a Process          slack.exe(2208)
0xfffffa80332fa5f0      4             0x18bc           0x1fffff Process          svchost.exe(936)
0xfffffa80324e1940      4             0x18d0               0x2a Process          audiodg.exe(1728)
0xfffffa80316f9060      4             0x18d8               0x2a Process          taskhost.exe(1396)
0xfffffa8031646be0      4             0x18e4           0x1f0001 ALPC Port        
0xfffff8a00438d560      4             0x18f0                0xe Token            
0xfffffa8031e2c2c0      4             0x1900               0x2a Process          chrome.exe(3384)
0xfffffa8031ea9940      4             0x1904               0x2a Process          dwm.exe(2852)
0xfffffa8031ed3710      4             0x1938               0x2a Process          slack.exe(2728)
0xfffffa8031e2c2c0      4             0x194c               0x2a Process          chrome.exe(3384)
0xfffffa8032827070    280                0x4           0x100020 File             \Device\HarddiskVolume1\Windows
0xfffffa8032827a20    280                0x8              0x804 EtwRegistration  
0xfffffa80328278d0    280                0xc           0x1f01ff File             \Device\NamedPipe\ProtectedPrefix
0xfffffa8032827780    280               0x10           0x1f01ff File             \Device\Mailslot\ProtectedPrefix
0xfffffa80328275b0    280               0x14           0x1f01ff File             \Device\NamedPipe\ProtectedPrefix\Administrators
0xfffffa8032827460    280               0x18           0x1f01ff File             \Device\Mailslot\ProtectedPrefix\Administrators
0xfffffa8032827310    280               0x1c           0x1f01ff File             \Device\NamedPipe\ProtectedPrefix\LocalService
0xfffffa80328271c0    280               0x20           0x1f01ff File             \Device\Mailslot\ProtectedPrefix\LocalService
0xfffffa803282b070    280               0x24           0x1f01ff File             \Device\NamedPipe\ProtectedPrefix\NetWorkService
0xfffffa803282bf20    280               0x28           0x1f01ff File             \Device\Mailslot\ProtectedPrefix\NetWorkService
0xfffffa803282be40    280               0x2c           0x1f0003 IoCompletion     
0xfffffa803282bcc0    280               0x30            0xf00ff TpWorkerFactory  
0xfffffa803282bcc0    280               0x34            0xf00ff TpWorkerFactory  
0xfffffa803282b2c0    280               0x38           0x1f0001 ALPC Port        SmApiPort
0xfffffa80323fd710    280               0x3c           0x1f0003 Event            
0xfffff8a005a7d450    280               0x40                0x6 Section          
0xfffff8a0002a62e0    280               0x44            0xf000f Directory        Sessions
0xfffff8a000008060    280               0x48            0xf000f Directory        GLOBAL??
0xfffffa80325908e0    280               0x4c           0x1f0003 Event            
0xfffff8a0002703d0    280               0x50            0xf0003 KeyedEvent       
0xfffffa8032f05b00    280               0x54           0x101441 Process          csrss.exe(364)
0xfffffa80331adb00    280               0x58           0x101441 Process          lsm.exe(544)
0xfffffa8032a29350    280               0x5c           0x101441 Process          csrss.exe(440)
0xfffffa803254d070    280               0x60           0x1f0001 ALPC Port        
0xfffffa803254de60    280               0x64           0x1f0001 ALPC Port        
0xfffffa8032542120    280               0x68           0x1f0003 Event            
0xfffffa80334e9ca0    280               0x6c           0x1f0003 Event            
0xfffffa8033196980    280               0x70           0x1f0001 ALPC Port        
0xfffffa80332a0070    280               0x74           0x1f0001 ALPC Port        
0xfffffa8033196770    280               0x78           0x1f0001 ALPC Port        
0xfffff8a0000896d0    364                0x4                0x9 Key              MACHINE\SOFTWARE\MICROSOFT\WINDOWS NT\CURRENTVERSION\IMAGE FILE EXECUTION OPTIONS
0xfffff8a005a93820    364                0x8                0x3 Directory        KnownDlls
0xfffffa8032f13510    364                0xc           0x100020 File             \Device\HarddiskVolume1\Windows\System32
0xfffffa803292b2d0    364               0x10              0x804 EtwRegistration  
0xfffff8a000b156c0    364               0x14            0xf000f Directory        BNOLINKS
0xfffff8a000b064e0    364               0x18            0xf0001 SymbolicLink     0
0xfffff8a000b187e0    364               0x1c            0xf000f Directory        0
0xfffff8a000b14920    364               0x20            0xf000f Directory        DosDevices
0xfffff8a0002a9800    364               0x24            0xf000f Directory        Windows
0xfffff8a005a3d230    364               0x28            0xf000f Directory        BaseNamedObjects
0xfffff8a000b0cd10    364               0x2c            0xf001f Section          SharedSection
0xfffff8a000ac63b0    364               0x30            0xf000f Directory        Restricted
0xfffff8a000b20360    364               0x34            0x20019 Key              MACHINE\SYSTEM\CONTROLSET001\CONTROL\NLS\SORTING\VERSIONS
0xfffff8a000b20230    364               0x38                0x1 Key              MACHINE\SYSTEM\CONTROLSET001\CONTROL\SESSION MANAGER
0xfffffa8032f27700    364               0x3c           0x1f0003 Event            
0xfffffa8032f07270    364               0x40           0x1f0003 Event            
0xfffffa803292b240    364               0x44           0x1f0003 Event            
0xfffffa8032f22110    364               0x48           0x1f0003 Event            
0xfffffa8032560fe0    364               0x4c           0x1f0003 Event            
0xfffffa80325406e0    364               0x50           0x1fffff Thread           TID 364 PID 844368520
0xfffffa8032551060    364               0x54           0x1fffff Thread           TID 364 PID 844436488
0xfffffa8032551b50    364               0x58           0x1fffff Thread           TID 364 PID 844439288
0xfffffa8030edeba0    364               0x5c           0x100003 Event            
0xfffffa80332aa8f0    364               0x60           0x1f0001 ALPC Port        
0xfffff8a000ba0db0    364               0x64            0x20019 Key              MACHINE\SOFTWARE\MICROSOFT\WINDOWS\CURRENTVERSION\SIDEBYSIDE
0xfffff8a000baf060    364               0x68            0x20019 Key              MACHINE\SYSTEM\CONTROLSET001\CONTROL\PRIORITYCONTROL
0xfffffa8031798300    364               0x6c           0x1fffff Thread           TID 3440 PID 830047912
0xfffffa803247eb30    364               0x70           0x1f0001 ALPC Port        ApiPort
0xfffffa803247d060    364               0x74           0x1fffff Thread           TID 364 PID 843568136
0xfffffa803247de60    364               0x78           0x1f0001 ALPC Port        SbApiPort
0xfffffa803247d920    364               0x7c           0x1fffff Thread           TID 364 PID 843570376
0xfffffa803247d720    364               0x80           0x1f0001 ALPC Port        
0xfffffa803254dc50    364               0x84           0x1f0001 ALPC Port        
0xfffffa8032ff4f20    364               0x88          0x21f0003 Event            
0xfffffa803254d580    364               0x8c           0x1fffff Process          wininit.exe(408)
0xfffffa803254cb50    364               0x90           0x1fffff Thread           TID 408 PID 844418808
0xfffffa8032eebe60    364               0x94           0x1f0001 ALPC Port        
0xfffffa80324cc2a0    364               0x98           0x1fffff Thread           TID 2944 PID 843892296
0xfffffa803315db50    364               0x9c           0x1fffff Thread           TID 364 PID 857071352
0xfffffa8032816180    364               0xa0          0x21f0003 Event            
0xfffffa803315d640    364               0xa4           0x1fffff Thread           TID 364 PID 857070056
0xfffffa803253a230    364               0xa8          0x21f0003 Event            
0xfffffa803315ffe0    364               0xac           0x1f0003 Event            WinSta0_DesktopSwitch
0xfffffa8032419800    364               0xb0            0xf0003 WindowStation    WinSta0
0xfffffa80331e7600    364               0xb4           0x1fffff Thread           TID 408 PID 857635240
0xfffffa803317e8e0    364               0xb8           0x1fffff Process          services.exe(472)
0xfffffa803315ef10    364               0xbc          0x21f0003 Event            
0xfffffa80334009b0    364               0xc0           0x1fffff Thread           TID 112 PID 859835736
0xfffffa8033180490    364               0xc4              0x804 EtwRegistration  
0xfffff8a0000fd5c0    364               0xc8            0xf003f Key              MACHINE
0xfffffa803319e8c0    364               0xcc           0x1f0001 ALPC Port        
0xfffff8a000c673d0    364               0xd0            0xf0007 Section          
0xfffffa8033189b50    364               0xd4           0x1fffff Thread           TID 364 PID 857251576
0xfffffa80337c7060    364               0xd8           0x1fffff Thread           TID 112 PID 863794184
0xfffffa803319b930    364               0xe0           0x100001 File             \Device\KsecDD
0xfffffa8032580aa0    364               0xe4           0x1f0001 ALPC Port        
0xfffffa80337a5b50    364               0xe8           0x1fffff Thread           TID 2216 PID 863657720
0xfffff8a000c6ed20    364               0xec            0xf0007 Section          
0xfffffa80331a7b00    364               0xf0           0x1fffff Process          lsass.exe(536)
0xfffffa80310d2b50    364               0xf4           0x1fffff Thread           TID 2580 PID 822947576
0xfffffa80331a7570    364               0xf8          0x21f0003 Event            
0xfffff8a000ccd680    364               0xfc            0xf0007 Section          
0xfffffa80331adb00    364              0x100           0x1fffff Process          lsm.exe(544)
0xfffffa80331ab060    364              0x104           0x1fffff Thread           TID 544 PID 857388040
0xfffff8a000ccbc80    364              0x108            0xf0007 Section          
0xfffffa80331a7060    364              0x10c           0x1fffff Thread           TID 364 PID 857371656
0xfffffa80331ab570    364              0x110          0x21f0003 Event            
0xfffffa80338145f0    364              0x114           0x1fffff Process          dllhost.exe(2216)
0xfffff8a000ccdac0    364              0x118            0xf0007 Section          
0xfffffa80331c5e60    364              0x11c           0x1f0001 ALPC Port        
0xfffffa80331d07b0    364              0x120           0x1f0001 ALPC Port        
0xfffffa80331d4060    364              0x124           0x1fffff Thread           TID 536 PID 857555976
0xfffffa80331e8b50    364              0x128           0x1fffff Thread           TID 536 PID 857640696
0xfffffa80331e3b50    364              0x12c           0x1fffff Thread           TID 536 PID 857620216
0xfffff8a000d1c4d0    364              0x130            0xf0007 Section          
0xfffff8a004529760    364              0x134            0xf0007 Section          
0xfffffa8033906b50    364              0x138           0x1fffff Thread           TID 2944 PID 865103608
0xfffffa803324c060    364              0x13c           0x1fffff Thread           TID 660 PID 858047496
0xfffffa8031f3ab50    364              0x144           0x1fffff Thread           TID 112 PID 838053624
0xfffffa80332257e0    364              0x148           0x1fffff Thread           TID 472 PID 857889672
0xfffffa803274d410    364              0x150           0x100c02 Thread           TID 112 PID 846518200
0xfffffa80334b5b50    364              0x154           0x1fffff Thread           TID 772 PID 860577528
0xfffffa80320e1b50    364              0x15c           0x100c02 Thread           TID 1728 PID 839786232
0xfffffa8031e44b50    364              0x160           0x1fffff Thread           TID 112 PID 837046008
0xfffffa803362f770    364              0x164           0x1fffff Thread           TID 2944 PID 862124824
0xfffffa80334bb060    364              0x168           0x1fffff Thread           TID 3440 PID 860599304
0xfffffa80310b4330    364              0x16c           0x1fffff Thread           TID 360 PID 822822616
0xfffffa8033227b00    364              0x170           0x1fffff Process          svchost.exe(660)
0xfffffa80332275f0    364              0x174           0x1fffff Thread           TID 660 PID 857897368
0xfffffa803320cd10    364              0x178           0x1f0001 ALPC Port        
0xfffffa8031d1d060    364              0x17c           0x1fffff                  
0xfffffa8031004b50    364              0x180           0x1fffff Thread           TID 2944 PID 822103800
0xfffff8a000b79330    364              0x184            0xf0007 Section          
0xfffffa80333bdb50    364              0x188           0x1fffff Thread           TID 936 PID 859561720
0xfffffa8032194b50    364              0x18c           0x1fffff Thread           TID 860 PID 840519416
0xfffffa8033249060    364              0x190           0x1fffff Thread           TID 660 PID 858035208
0xfffffa803324dac0    364              0x198           0x1fffff Thread           TID 660 PID 858054248
0xfffffa803324e060    364              0x19c           0x1fffff Thread           TID 660 PID 858055688
0xfffffa803324fb50    364              0x1a0           0x1fffff Thread           TID 472 PID 858062584
0xfffffa8033247bf0    364              0x1a4          0x21f0003 Event            
0xfffffa803325c060    364              0x1a8           0x1fffff Process          vmacthlp.exe(728)
0xfffffa803325c6f0    364              0x1ac           0x1fffff Thread           TID 728 PID 858114712
0xfffffa8033250d40    364              0x1b0           0x1f0001 ALPC Port        
0xfffffa80320c2b50    364              0x1b4           0x1fffff Thread           TID 860 PID 839659256
0xfffffa8033213460    364              0x1b8           0x1fffff Thread           TID 728 PID 857815048
0xfffff8a00011fde0    364              0x1bc            0xf0007 Section          
0xfffffa8033760b50    364              0x1c0           0x1fffff Thread           TID 2188 PID 863375096
0xfffffa80331cb8e0    364              0x1c8           0x1fffff Thread           TID 660 PID 857521288
0xfffffa8032c67a50    364              0x1cc           0x1fffff Thread           TID 660 PID 851869176
0xfffffa8033266060    364              0x1d0           0x1fffff Process          svchost.exe(772)
0xfffffa803322a390    364              0x1d4           0x1fffff Thread           TID 772 PID 857909048
0xfffffa803326f070    364              0x1d8           0x1f0001 ALPC Port        
0xfffff8a001fd2af0    364              0x1dc            0xf0007 Section          
0xfffffa803327a280    364              0x1e0           0x1fffff Thread           TID 772 PID 858236456
0xfffffa8033346b50    364              0x1e4           0x1fffff Thread           TID 1160 PID 859074296
0xfffffa8033a65180    364              0x1e8           0x1fffff Thread           TID 360 PID 866538792
0xfffffa8033288940    364              0x1ec           0x1fffff Thread           TID 772 PID 858295528
0xfffffa8033298b50    364              0x1f0           0x1fffff Thread           TID 544 PID 858361592
0xfffffa803329db50    364              0x1f4           0x1fffff Thread           TID 544 PID 858382072
0xfffffa80324e85d0    364              0x1f8           0x1fffff Thread           TID 544 PID 844007800
0xfffffa80332a61a0    364              0x1fc           0x1fffff Thread           TID 544 PID 858416456
0xfffffa80332a3ad0    364              0x200           0x1fffff Thread           TID 544 PID 858406520
0xfffffa80332a7060    364              0x204           0x1fffff Thread           TID 544 PID 858420232
0xfffffa80332b0b00    364              0x208           0x1fffff Process          svchost.exe(860)
0xfffffa80332b7060    364              0x20c           0x1fffff Thread           TID 860 PID 858485768
0xfffff8a0013bbb60    364              0x210            0xf0007 Section          
0xfffffa80332c49b0    364              0x218           0x1f0001 ALPC Port        
0xfffffa803339ab50    364              0x220           0x1fffff Thread           TID 3440 PID 859418360
0xfffffa8033734b50    364              0x224           0x1fffff Thread           TID 544 PID 863194872
0xfffff8a000d17fc0    364              0x228            0xf0007 Section          
0xfffffa80333d6060    364              0x22c           0x1fffff Process          WmiPrvSE.exe(3440)
0xfffffa80332f8b50    364              0x230           0x1fffff Thread           TID 860 PID 858754808
0xfffffa80331bf3c0    364              0x234           0x1fffff Thread           TID 860 PID 857470824
0xfffffa8033214980    364              0x238           0x1f0001 ALPC Port        
0xfffffa80332fa5f0    364              0x23c           0x1fffff Process          svchost.exe(936)
0xfffffa80332c6700    364              0x240           0x1fffff Thread           TID 936 PID 858548904
0xfffffa80332fdb60    364              0x244           0x1f0001 ALPC Port        
0xfffffa8033694540    364              0x248           0x1fffff                  
0xfffffa8033341930    364              0x24c           0x1fffff Thread           TID 936 PID 859053272
0xfffffa80310cbb50    364              0x250           0x1fffff Thread           TID 860 PID 822918904
0xfffff8a003e93b90    364              0x254            0xf0007 Section          
0xfffffa80314e52b0    364              0x258           0x1fffff Thread           TID 112 PID 827217496
0xfffffa8033321b50    364              0x25c           0x1fffff Thread           TID 936 PID 858922744
0xfffffa8031667b50    364              0x260           0x1fffff Thread           TID 1332 PID 828800760
0xfffffa80333379b0    364              0x264           0x1fffff Process          svchost.exe(980)
0xfffffa8033300b50    364              0x268           0x1fffff Thread           TID 980 PID 858787576
0xfffffa803333ae60    364              0x26c           0x1f0001 ALPC Port        
0xfffffa8031e719a0    364              0x270           0x1fffff Thread           TID 1576 PID 837229896
0xfffffa8033345900    364              0x274           0x1fffff Thread           TID 936 PID 859069608
0xfffffa8032707790    364              0x278           0x1fffff Thread           TID 2944 PID 846232376
0xfffffa80325eb640    364              0x27c           0x1fffff Thread           TID 2944 PID 845068776
0xfffffa8031aa7b50    364              0x280           0x100c02 Thread           TID 1728 PID 833257208
0xfffffa8033348b50    364              0x284           0x1fffff Thread           TID 936 PID 859082488
0xfffffa803333db00    364              0x288           0x1fffff Process          svchost.exe(112)
0xfffffa803333e700    364              0x28c           0x1fffff Thread           TID 112 PID 859040424
0xfffffa8033339bc0    364              0x290           0x1f0001 ALPC Port        
0xfffffa8033340940    364              0x294           0x1fffff Thread           TID 980 PID 859049192
0xfffffa8033352060    364              0x298           0x1fffff Thread           TID 980 PID 859120648
0xfffffa8031150060    364              0x29c           0x1fffff Thread           TID 360 PID 823460872
0xfffffa8031147b50    364              0x2a0           0x1fffff Thread           TID 1332 PID 823426808
0xfffffa8033366060    364              0x2a4           0x1fffff Thread           TID 860 PID 859202568
0xfffffa803338e7f0    364              0x2a8           0x1fffff Thread           TID 936 PID 830553096
0xfffffa8032010400    364              0x2ac           0x1fffff Thread           TID 980 PID 838928296
0xfffffa803143b060    364              0x2b0           0x1fffff Thread           TID 980 PID 826520584
0xfffffa80310dd060    364              0x2b4           0x1fffff Thread           TID 936 PID 822989832
0xfffffa8033588060    364              0x2b8           0x1fffff Thread           TID 860 PID 861438984
0xfffffa8031017a90    364              0x2bc           0x1fffff Thread           TID 860 PID 822181432
0xfffffa8032704060    364              0x2c0           0x1fffff Thread           TID 860 PID 846218248
0xfffffa80323adb50    364              0x2c4           0x1fffff Thread           TID 2812 PID 842718968
0xfffffa8033385b50    364              0x2c8           0x1fffff Thread           TID 860 PID 859332344
0xfffffa80325ca060    364              0x2cc           0x1fffff Thread           TID 860 PID 844932104
0xfffffa803123d840    364              0x2d0           0x1fffff Thread           TID 936 PID 824433640
0xfffffa803336a720    364              0x2d4           0x1fffff Thread           TID 2108 PID 859220680
0xfffffa8033390450    364              0x2d8           0x1fffff Thread           TID 112 PID 859375608
0xfffffa8033393060    364              0x2dc           0x1fffff Thread           TID 112 PID 859386888
0xfffffa8033591b50    364              0x2e0           0x1fffff Thread           TID 2324 PID 861478648
0xfffff8a003cf4770    364              0x2e8            0xf0007 Section          
0xfffffa8033417930    364              0x2ec           0x1fffff Thread           TID 860 PID 859929816
0xfffffa80333cca50    364              0x2f0           0x1fffff Thread           TID 936 PID 859622904
0xfffffa8033368b50    364              0x2f4           0x1fffff Thread           TID 936 PID 859213560
0xfffffa803249e060    364              0x2f8           0x1fffff Thread           TID 2188 PID 843703304
0xfffffa80326ea7d0    364              0x300           0x1fffff Thread           TID 936 PID 846113656
0xfffff8a001205720    364              0x304            0xf0007 Section          
0xfffffa80311967d0    364              0x308           0x1fffff Thread           TID 2580 PID 823749496
0xfffffa80333e8990    364              0x30c           0x1fffff Thread           TID 936 PID 859737400
0xfffffa80323b5a00    364              0x310           0x1fffff                  
0xfffffa80333e2060    364              0x314           0x1fffff Thread           TID 980 PID 859710472
0xfffffa803219a660    364              0x318           0x1f0001 ALPC Port        
0xfffffa8033424860    364              0x31c           0x1fffff Process          svchost.exe(1160)
0xfffffa8031009060    364              0x324           0x1fffff Thread           TID 660 PID 822121480
0xfffffa80333cc300    364              0x328           0x1fffff Thread           TID 112 PID 859621032
0xfffffa8032cd4060    364              0x330           0x1fffff Thread           TID 936 PID 852313096
0xfffffa80333cf890    364              0x334           0x1fffff Thread           TID 1160 PID 859634744
0xfffffa80334289b0    364              0x33c           0x1f0001 ALPC Port        
0xfffffa8033437060    364              0x344           0x1fffff Thread           TID 860 PID 860058632
0xfffffa8033440060    364              0x350           0x1fffff Thread           TID 2812 PID 860095496
0xfffff8a003dce970    364              0x354            0xf0007 Section          
0xfffffa80337cd060    364              0x358           0x1fffff Thread           TID 2108 PID 863818760
0xfffff8a000cb21b0    364              0x360            0xf0007 Section          
0xfffffa80310cfb50    364              0x364           0x1fffff Thread           TID 860 PID 822935288
0xfffffa8033480060    364              0x368           0x1fffff Thread           TID 1160 PID 860357640
0xfffff8a001f145c0    364              0x36c            0xf0007 Section          
0xfffffa8033483060    364              0x370           0x1fffff Thread           TID 1160 PID 860369928
0xfffffa8033483b50    364              0x374           0x1fffff Thread           TID 1160 PID 860372728
0xfffffa8033484b50    364              0x378           0x1fffff Thread           TID 1160 PID 860376824
0xfffffa80310b3b00    364              0x37c           0x1fffff Process          svchost.exe(360)
0xfffffa803349a060    364              0x380           0x1fffff Thread           TID 112 PID 860464136
0xfffffa803349fb50    364              0x384           0x1fffff Thread           TID 112 PID 860487416
0xfffffa80334a4060    364              0x38c           0x1fffff Thread           TID 112 PID 860505096
0xfffffa80334aca80    364              0x390           0x1fffff Thread           TID 112 PID 860540456
0xfffffa8031eab990    364              0x394           0x1fffff Thread           TID 1332 PID 837467448
0xfffffa80310d2410    364              0x398           0x1f0001 Mutant           
0xfffffa803141a640    364              0x39c           0x1fffff Thread           TID 4484 PID 826386920
0xfffffa803343eb00    364              0x3a0           0x1fffff Process          spoolsv.exe(1304)
0xfffffa80334cb060    364              0x3a4           0x1fffff Thread           TID 1304 PID 860664840
0xfffffa803343de60    364              0x3a8           0x1f0001 ALPC Port        
0xfffffa80310bbb50    364              0x3ac           0x1fffff Thread           TID 360 PID 822853368
0xfffffa80334d4640    364              0x3b0           0x1fffff Thread           TID 1304 PID 860703208
0xfffff8a00135bcd0    364              0x3b4            0xf0007 Section          
0xfffffa80326c94e0    364              0x3b8           0x1fffff Process          WmiApSrv.exe(1092)
0xfffffa80334e3060    364              0x3bc           0x1fffff Thread           TID 1304 PID 860763144
0xfffffa80334d8b00    364              0x3c0           0x1fffff Process          svchost.exe(1332)
0xfffffa80334e38d0    364              0x3c4           0x1fffff Thread           TID 1332 PID 860765304
0xfffffa80334d79e0    364              0x3c8           0x1f0001 ALPC Port        
0xfffffa8033881b50    364              0x3d0           0x1fffff Thread           TID 1092 PID 864558840
0xfffffa8033564b50    364              0x3d4           0x1fffff Thread           TID 1332 PID 861294328
0xfffffa80334fcb50    364              0x3d8           0x1fffff Thread           TID 1332 PID 860868344
0xfffffa8031681b50    364              0x3dc           0x1fffff Thread           TID 1444 PID 828907256
